stname	stID	class	opt_cour	score
student658	10120657	Software_1407	basketball	87.8
student659	10120658	Software_1407	table tennis	89
student660	10120659	Software_1407	table tennis	84.3
student661	10120660	Software_1407	table tennis	73.8
student662	10120661	Software_1407	table tennis	75.4
student663	10120662	Software_1407	taekwondo	75.6
student664	10120663	Software_1407	taekwondo	99.6
student665	10120664	Software_1407	football	73.1
student666	10120665	Software_1407	football	84.9
student667	10120666	Software_1407	gymnastics	86.3
student668	10120667	Software_1407	swimming	81
student669	10120668	Software_1407	swimming	70.5
student670	10120669	Software_1407	table tennis	92.2
student671	10120670	Software_1407	taekwondo	71.9
student672	10120671	Software_1407	taekwondo	77
student673	10120672	Software_1407	gymnastics	85.3
student674	10120673	Software_1407	gymnastics	79.7
student675	10120674	Software_1407	badminton	99
student676	10120675	Software_1407	taekwondo	79.6
student677	10120676	Software_1407	gymnastics	94.1
student678	10120677	Software_1407	table tennis	96.8
student679	10120678	Software_1407	taekwondo	72.8
student680	10120679	Software_1407	taekwondo	71.9
student681	10120680	Software_1407	football	77.4
student682	10120681	Software_1407	football	54
student683	10120682	Software_1407	gymnastics	79
student684	10120683	Software_1407	swimming	78.1
student685	10120684	Software_1407	swimming	86
student686	10120685	Software_1407	table tennis	83.9
student687	10120686	Software_1407	taekwondo	73.5
student688	10120687	Software_1407	taekwondo	78.8
student689	10120688	Software_1407	gymnastics	85.6
student690	10120689	Software_1407	gymnastics	72.9
student691	10120690	Software_1407	basketball	85.8
student692	10120691	Software_1407	basketball	70.4
student693	10120692	Computer_1401	basketball	70.5
student694	10120693	Computer_1401	gymnastics	72
student695	10120694	Computer_1401	gymnastics	87.6
student696	10120695	Computer_1401	basketball	60.3
student697	10120696	Computer_1401	tennis	70.8
student698	10120697	Computer_1401	gymnastics	85.7
student699	10120698	Computer_1401	basketball	74.3
student700	10120699	Computer_1401	gymnastics	65.1
student701	10120700	Computer_1401	tennis	77.8
student702	10120701	Computer_1401	basketball	81.5
student703	10120702	Computer_1401	tennis	74.9
student704	10120703	Computer_1401	badminton	81.1
student705	10120704	Computer_1401	basketball	78.2
student706	10120705	Computer_1401	football	71.4
student707	10120706	Computer_1401	basketball	85.9
student708	10120707	Computer_1401	football	96.3
student709	10120708	Computer_1401	table tennis	75.3
student710	10120709	Computer_1401	swimming	85.1
student711	10120710	Computer_1401	swimming	81.1
student712	10120711	Computer_1401	swimming	88.5
student713	10120712	Computer_1401	football	85.1
student714	10120713	Computer_1401	table tennis	88.5
student715	10120714	Computer_1401	badminton	79.2
student716	10120715	Computer_1401	volleyball	70.6
student717	10120716	Computer_1401	badminton	87
student718	10120717	Computer_1401	volleyball	76.7
student719	10120718	Computer_1401	tennis	70.7
student720	10120719	Computer_1401	volleyball	90.5
student721	10120720	Computer_1401	swimming	73.4
student722	10120721	Computer_1401	football	93
student723	10120722	Computer_1401	football	76.9
student724	10120723	Computer_1401	table tennis	73.8
student725	10120724	Computer_1401	badminton	75.3
student726	10120725	Computer_1401	volleyball	73.9
student727	10120726	Computer_1401	tennis	89.8
student728	10120727	Computer_1401	volleyball	73.5
student729	10120728	Computer_1401	volleyball	86.4
student730	10120729	Computer_1401	tennis	88.5
student731	10120730	Computer_1401	volleyball	73.2
student732	10120731	Computer_1401	basketball	88.2
student733	10120732	Computer_1401	taekwondo	85.7
student734	10120733	Computer_1401	taekwondo	72.9
student735	10120734	Computer_1401	table tennis	85.2
student736	10120735	Computer_1401	badminton	78.2
student737	10120736	Computer_1401	tennis	100
student738	10120737	Computer_1401	swimming	61.1
student739	10120738	Computer_1401	volleyball	73
student740	10120739	Computer_1401	football	74
student741	10120740	Computer_1401	table tennis	70.6
student742	10120741	Computer_1401	badminton	82.9
student743	10120742	Computer_1401	swimming	80.5
student744	10120743	Computer_1402	tennis	73.1
student745	10120744	Computer_1402	volleyball	90.9
student746	10120745	Computer_1402	badminton	88.6
student747	10120746	Computer_1402	basketball	81.4
student748	10120747	Computer_1402	tennis	79.7
student749	10120748	Computer_1402	tennis	97
student750	10120749	Computer_1402	badminton	88
student751	10120750	Computer_1402	swimming	82.4
student752	10120751	Computer_1402	table tennis	94.1
student753	10120752	Computer_1402	badminton	84.3
student754	10120753	Computer_1402	volleyball	89.5
student755	10120754	Computer_1402	tennis	85
student756	10120755	Computer_1402	badminton	82.4
student757	10120756	Computer_1402	basketball	70.8
student758	10120757	Computer_1402	table tennis	84.7
student759	10120758	Computer_1402	table tennis	68.8
student760	10120759	Computer_1402	table tennis	88.5
student761	10120760	Computer_1402	table tennis	71.6
student762	10120761	Computer_1402	taekwondo	78
student763	10120762	Computer_1402	taekwondo	81
student764	10120763	Computer_1402	football	88.1
student765	10120764	Computer_1402	football	81.7
student766	10120765	Computer_1402	gymnastics	99.2
student767	10120766	Computer_1402	swimming	89.1
student768	10120767	Computer_1402	swimming	74.8
student769	10120768	Computer_1402	table tennis	91.1
student770	10120769	Computer_1402	taekwondo	72.7
student771	10120770	Computer_1402	taekwondo	77.2
student772	10120771	Computer_1402	gymnastics	83.3
student773	10120772	Computer_1402	gymnastics	77.8
student774	10120773	Computer_1402	badminton	71
student775	10120774	Computer_1402	taekwondo	82
student776	10120775	Computer_1402	gymnastics	85.2
student777	10120776	Computer_1402	table tennis	94.4
student778	10120777	Computer_1402	taekwondo	77.5
student779	10120778	Computer_1402	taekwondo	83.4
student780	10120779	Computer_1402	football	85
student781	10120780	Computer_1402	football	81.1
student782	10120781	Computer_1402	gymnastics	77.2
student783	10120782	Computer_1402	swimming	63.2
student784	10120783	Computer_1402	swimming	84.1
student785	10120784	Computer_1402	table tennis	88.3
student786	10120785	Computer_1402	taekwondo	81.6
student787	10120786	Computer_1402	taekwondo	86.5
student788	10120787	Computer_1402	gymnastics	70.2
student789	10120788	Computer_1402	gymnastics	75.8
student790	10120789	Computer_1402	basketball	72.8
student791	10120790	Computer_1402	basketball	81.4
student792	10120791	Computer_1402	basketball	71.4
student793	10120792	Computer_1402	gymnastics	85
student794	10120793	Computer_1402	gymnastics	93.2
student795	10120794	Computer_1403	basketball	83.3
student796	10120795	Computer_1403	tennis	84.9
student797	10120796	Computer_1403	gymnastics	79.4
student798	10120797	Computer_1403	basketball	97.2
student799	10120798	Computer_1403	gymnastics	70.7
student800	10120799	Computer_1403	tennis	87.7
student801	10120800	Computer_1403	basketball	81.6
student802	10120801	Computer_1403	tennis	89.1
student803	10120802	Computer_1403	badminton	78.7
student804	10120803	Computer_1403	basketball	77.9
student805	10120804	Computer_1403	football	86.4
student806	10120805	Computer_1403	basketball	80.4
student807	10120806	Computer_1403	football	76.6
student808	10120807	Computer_1403	table tennis	89.4
student809	10120808	Computer_1403	swimming	63.4
student810	10120809	Computer_1403	swimming	72.6
student811	10120810	Computer_1403	swimming	79.1
student812	10120811	Computer_1403	football	74.6
student813	10120812	Computer_1403	table tennis	88.3
student814	10120813	Computer_1403	badminton	80.1
student815	10120814	Computer_1403	volleyball	80.5
student816	10120815	Computer_1403	badminton	74.4
student817	10120816	Computer_1403	volleyball	77.4
student818	10120817	Computer_1403	tennis	86.6
student819	10120818	Computer_1403	volleyball	74.1
student820	10120819	Computer_1403	swimming	81.7
student821	10120820	Computer_1403	football	64.9
student822	10120821	Computer_1403	football	84.1
student823	10120822	Computer_1403	table tennis	77.6
student824	10120823	Computer_1403	badminton	60.1
student825	10120824	Computer_1403	volleyball	77.4
student826	10120825	Computer_1403	tennis	78.1
student827	10120826	Computer_1403	volleyball	77.3
student828	10120827	Computer_1403	volleyball	79.2
student829	10120828	Computer_1403	tennis	82.1
student830	10120829	Computer_1403	volleyball	91.7
student831	10120830	Computer_1403	basketball	73.3
student832	10120831	Computer_1403	taekwondo	81.8
student833	10120832	Computer_1403	taekwondo	73.8
student834	10120833	Computer_1403	table tennis	86.6
student835	10120834	Computer_1403	badminton	50.9
student836	10120835	Computer_1403	tennis	78.1
student837	10120836	Computer_1403	swimming	85.6
student838	10120837	Computer_1403	volleyball	80.8
student839	10120838	Computer_1403	football	98.3
student840	10120839	Computer_1403	table tennis	85.2
student841	10120840	Computer_1404	badminton	75.6
student842	10120841	Computer_1404	swimming	92.4
student843	10120842	Computer_1404	tennis	85.5
student844	10120843	Computer_1404	volleyball	87.1
student845	10120844	Computer_1404	badminton	93.9
student846	10120845	Computer_1404	basketball	80.6
student847	10120846	Computer_1404	tennis	77.2
student848	10120847	Computer_1404	tennis	77.1
student849	10120848	Computer_1404	badminton	72.4
student850	10120849	Computer_1404	swimming	89.4
student851	10120850	Computer_1404	table tennis	98.6
student852	10120851	Computer_1404	badminton	74
student853	10120852	Computer_1404	volleyball	60.4
student854	10120853	Computer_1404	tennis	92.6
student855	10120854	Computer_1404	badminton	82.7
student856	10120855	Computer_1404	basketball	87.9
student857	10120856	Computer_1404	table tennis	83.1
student858	10120857	Computer_1404	table tennis	87
student859	10120858	Computer_1404	table tennis	70.6
student860	10120859	Computer_1404	table tennis	86.6
student861	10120860	Computer_1404	taekwondo	83.1
student862	10120861	Computer_1404	taekwondo	70.5
student863	10120862	Computer_1404	football	71.5
student864	10120863	Computer_1404	football	71
student865	10120864	Computer_1404	gymnastics	71.3
student866	10120865	Computer_1404	swimming	76
student867	10120866	Computer_1404	swimming	72.7
student868	10120867	Computer_1404	table tennis	87.8
student869	10120868	Computer_1404	taekwondo	81.6
student870	10120869	Computer_1404	taekwondo	89.5
student871	10120870	Computer_1404	gymnastics	78.5
student872	10120871	Computer_1404	gymnastics	91.8
student873	10120872	Computer_1404	badminton	79.5
student874	10120873	Computer_1404	taekwondo	75.7
student875	10120874	Computer_1404	gymnastics	79.4
student876	10120875	Computer_1404	table tennis	88.1
student877	10120876	Computer_1404	taekwondo	71.9
student878	10120877	Computer_1404	taekwondo	73.1
student879	10120878	Computer_1404	football	95.5
student880	10120879	Computer_1404	football	74.1
student881	10120880	Computer_1404	gymnastics	86.3
student882	10120881	Computer_1404	swimming	79.7
student883	10120882	Computer_1404	swimming	78.3
student884	10120883	Computer_1404	table tennis	88
student885	10120884	Computer_1404	taekwondo	85.5
student886	10120885	Computer_1404	taekwondo	70.1
student887	10120886	Computer_1404	gymnastics	74.4
student888	10120887	Computer_1405	gymnastics	87.8
student889	10120888	Computer_1405	basketball	76.3
student890	10120889	Computer_1405	basketball	80.6
student891	10120890	Computer_1405	basketball	82.3
student892	10120891	Computer_1405	gymnastics	83.2
student893	10120892	Computer_1405	gymnastics	76.7
student894	10120893	Computer_1405	basketball	87.5
student895	10120894	Computer_1405	tennis	72.5
student896	10120895	Computer_1405	gymnastics	92.4
student897	10120896	Computer_1405	basketball	79.7
student898	10120897	Computer_1405	gymnastics	66.4
student899	10120898	Computer_1405	tennis	82.9
student900	10120899	Computer_1405	basketball	78.6
student901	10120900	Computer_1405	tennis	72.1
student902	10120901	Computer_1405	badminton	75
student903	10120902	Computer_1405	basketball	74.8
student904	10120903	Computer_1405	football	85.4
student905	10120904	Computer_1405	basketball	77.8
student906	10120905	Computer_1405	football	80.1
student907	10120906	Computer_1405	table tennis	98.1
student908	10120907	Computer_1405	swimming	83.3
student909	10120908	Computer_1405	swimming	72.4
student910	10120909	Computer_1405	swimming	83.5
student911	10120910	Computer_1405	football	79
student912	10120911	Computer_1405	table tennis	89.3
student913	10120912	Computer_1405	badminton	78.9
student914	10120913	Computer_1405	volleyball	73.1
student915	10120914	Computer_1405	badminton	89
student916	10120915	Computer_1405	volleyball	61.8
student917	10120916	Computer_1405	tennis	74.7
student918	10120917	Computer_1405	volleyball	74.4
student919	10120918	Computer_1405	swimming	90.9
student920	10120919	Computer_1405	football	87.2
student921	10120920	Computer_1405	football	61.6
student922	10120921	Computer_1405	table tennis	71.6
student923	10120922	Computer_1405	badminton	78.1
student924	10120923	Computer_1405	volleyball	92.9
student925	10120924	Computer_1405	tennis	64
student926	10120925	Computer_1405	volleyball	87.8
student927	10120926	Computer_1405	volleyball	81.5
student928	10120927	Computer_1405	tennis	73.2
student929	10120928	Computer_1405	volleyball	76.8
student930	10120929	Computer_1405	basketball	74.5
student931	10120930	Computer_1405	taekwondo	82.8
student932	10120931	Computer_1405	taekwondo	87.3
student933	10120932	Computer_1405	table tennis	92.3
student934	10120933	Computer_1405	badminton	84
student935	10120934	Computer_1405	tennis	71.7
student936	10120935	Mobile_1401	swimming	82
student937	10120936	Mobile_1401	volleyball	90.5
student938	10120937	Mobile_1401	football	83.3
student939	10120938	Mobile_1401	table tennis	83.3
student940	10120939	Mobile_1401	badminton	92.2
student941	10120940	Mobile_1401	swimming	70.7
student942	10120941	Mobile_1401	tennis	86.3
student943	10120942	Mobile_1401	volleyball	73.9
student944	10120943	Mobile_1401	badminton	88.5
student945	10120944	Mobile_1401	basketball	75
student946	10120945	Mobile_1401	tennis	76.4
student947	10120946	Mobile_1401	tennis	85
student948	10120947	Mobile_1401	badminton	96.2
student949	10120948	Mobile_1401	swimming	77.5
student950	10120949	Mobile_1401	table tennis	72.7
student951	10120950	Mobile_1401	badminton	72.1
student952	10120951	Mobile_1401	volleyball	63.5
student953	10120952	Mobile_1401	tennis	85.9
student954	10120953	Mobile_1401	badminton	71
student955	10120954	Mobile_1401	basketball	81.9
student956	10120955	Mobile_1401	table tennis	73.9
student957	10120956	Mobile_1401	table tennis	87.8
student958	10120957	Mobile_1401	table tennis	79.3
student959	10120958	Mobile_1401	table tennis	99
student960	10120959	Mobile_1401	taekwondo	81.8
student961	10120960	Mobile_1401	taekwondo	83.7
student962	10120961	Mobile_1401	football	71.9
student963	10120962	Mobile_1401	football	88.1
student964	10120963	Mobile_1401	gymnastics	84.1
student965	10120964	Mobile_1401	swimming	74.9
student966	10120965	Mobile_1401	swimming	97.8
student967	10120966	Mobile_1401	table tennis	85.7
student968	10120967	Mobile_1401	taekwondo	99.5
student969	10120968	Mobile_1401	taekwondo	82.1
student970	10120969	Mobile_1401	gymnastics	84.5
student971	10120970	Mobile_1401	gymnastics	68.5
student972	10120971	Mobile_1401	badminton	91.4
student973	10120972	Mobile_1401	taekwondo	74.7
student974	10120973	Mobile_1401	gymnastics	87.4
student975	10120974	Mobile_1401	table tennis	75.9
student976	10120975	Mobile_1401	taekwondo	89.9
student977	10120976	Mobile_1401	taekwondo	88.6
student978	10120977	Mobile_1401	football	85.5
student979	10120978	Mobile_1401	football	77.4
student980	10120979	Mobile_1401	gymnastics	88.5
student981	10120980	Mobile_1402	swimming	72.4
student982	10120981	Mobile_1402	swimming	86.1
student983	10120982	Mobile_1402	table tennis	67.3
student984	10120983	Mobile_1402	taekwondo	86.7
student985	10120984	Mobile_1402	taekwondo	81.3
student986	10120985	Mobile_1402	gymnastics	70.8
student987	10120986	Mobile_1402	gymnastics	66
student988	10120987	Mobile_1402	basketball	76.1
student989	10120988	Mobile_1402	basketball	85.9
student990	10120989	Mobile_1402	basketball	68.2
student991	10120990	Mobile_1402	gymnastics	84.4
student992	10120991	Mobile_1402	gymnastics	78.7
student993	10120992	Mobile_1402	basketball	92.2
student994	10120993	Mobile_1402	tennis	99.3
student995	10120994	Mobile_1402	gymnastics	93
student996	10120995	Mobile_1402	basketball	70.4
student997	10120996	Mobile_1402	gymnastics	94.4
student998	10120997	Mobile_1402	tennis	70.6
student999	10120998	Mobile_1402	basketball	82.6
student1000	10120999	Mobile_1402	tennis	80.4
student1001	10121000	Mobile_1402	badminton	77.7
student1002	10121001	Mobile_1402	basketball	75.5
student1003	10121002	Mobile_1402	football	86
student1004	10121003	Mobile_1402	basketball	85.2
student1005	10121004	Mobile_1402	football	87
student1006	10121005	Mobile_1402	table tennis	87.7
student1007	10121006	Mobile_1402	swimming	86.1
student1008	10121007	Mobile_1402	swimming	62.3
student1009	10121008	Mobile_1402	swimming	79.6
student1010	10121009	Mobile_1402	football	76.7
student1011	10121010	Mobile_1402	table tennis	86.4
student1012	10121011	Mobile_1402	badminton	93
student1013	10121012	Mobile_1402	volleyball	70.8
student1014	10121013	Mobile_1402	badminton	80.8
student1015	10121014	Mobile_1402	volleyball	74.6
student1016	10121015	Mobile_1402	tennis	76.1
student1017	10121016	Mobile_1402	volleyball	79.9
student1018	10121017	Mobile_1402	swimming	88.3
student1019	10121018	Mobile_1402	football	90
student1020	10121019	Mobile_1402	football	73.1
student1021	10121020	Mobile_1402	table tennis	83
student1022	10121021	Mobile_1402	badminton	79
student1023	10121022	Mobile_1402	volleyball	72.8
student1024	10121023	Mobile_1402	tennis	62.4
student1025	10121024	Mobile_1402	volleyball	79.7
student1026	10121025	Mobile_1402	volleyball	69.8
student1027	10121026	Mobile_1402	tennis	61.2
student1028	10121027	Mobile_1402	volleyball	72.4
student1029	10121028	Mobile_1402	basketball	87.7
student1030	10121029	Mobile_1402	taekwondo	76.3
student1031	10121030	Mobile_1403	taekwondo	82.7
student1032	10121031	Mobile_1403	table tennis	80.5
student1033	10121032	Mobile_1403	badminton	71.3
student1034	10121033	Mobile_1403	tennis	69.8
student1035	10121034	Mobile_1403	swimming	82.5
student1036	10121035	Mobile_1403	volleyball	73.2
student1037	10121036	Mobile_1403	football	72.9
student1038	10121037	Mobile_1403	table tennis	80.1
student1039	10121038	Mobile_1403	badminton	73.1
student1040	10121039	Mobile_1403	swimming	77.7
student1041	10121040	Mobile_1403	tennis	94.5
student1042	10121041	Mobile_1403	volleyball	78.8
student1043	10121042	Mobile_1403	badminton	81
student1044	10121043	Mobile_1403	basketball	77.7
student1045	10121044	Mobile_1403	tennis	87.7
student1046	10121045	Mobile_1403	tennis	85.8
student1047	10121046	Mobile_1403	badminton	67.9
student1048	10121047	Mobile_1403	swimming	70.3
student1049	10121048	Mobile_1403	table tennis	73.5
student1050	10121049	Mobile_1403	badminton	88.9
student1051	10121050	Mobile_1403	volleyball	77
student1052	10121051	Mobile_1403	tennis	87.5
student1053	10121052	Mobile_1403	badminton	83.4
student1054	10121053	Mobile_1403	basketball	88.9
student1055	10121054	Mobile_1403	table tennis	88
student1056	10121055	Mobile_1403	table tennis	85
student1057	10121056	Mobile_1403	table tennis	85.9
student1058	10121057	Mobile_1403	table tennis	73
student1059	10121058	Mobile_1403	taekwondo	80.7
student1060	10121059	Mobile_1403	taekwondo	70.4
student1061	10121060	Mobile_1403	football	79.3
student1062	10121061	Mobile_1403	football	71.3
student1063	10121062	Mobile_1403	gymnastics	76.9
student1064	10121063	Mobile_1403	swimming	73.6
student1065	10121064	Mobile_1403	swimming	84.7
student1066	10121065	Mobile_1403	table tennis	76
student1067	10121066	Mobile_1403	taekwondo	50.7
student1068	10121067	Mobile_1403	taekwondo	73.1
student1069	10121068	Mobile_1403	gymnastics	86.7
student1070	10121069	Mobile_1403	gymnastics	79.3
student1071	10121070	Mobile_1403	badminton	71.2
student1072	10121071	Mobile_1403	taekwondo	87.4
student1073	10121072	Mobile_1403	gymnastics	72.7
student1074	10121073	Mobile_1403	table tennis	81
student1075	10121074	Mobile_1403	taekwondo	85.4
student1076	10121075	Mobile_1403	taekwondo	77.6
student1077	10121076	Mobile_1403	football	86
student1078	10121077	Mobile_1403	football	71.7
student1079	10121078	Mobile_1403	gymnastics	83.6
student1080	10121079	Mobile_1403	swimming	82.7
student1081	10121080	Mobile_1403	swimming	64.5
student1082	10121081	Mobile_1403	table tennis	76
student1083	10121082	Mobile_1403	taekwondo	97.9
student1084	10121083	Mobile_1403	taekwondo	75.7
student1085	10121084	Mobile_1403	gymnastics	65.3
student1086	10121085	Mobile_1403	gymnastics	93.7
student1087	10121086	Mobile_1403	basketball	88.6
student1088	10121087	Mobile_1403	basketball	77.9
student1089	10121088	Mobile_1403	basketball	59.8
student1090	10121089	Mobile_1403	gymnastics	72.2
student1091	10121090	Mobile_1403	gymnastics	89.8
student1092	10121091	Mobile_1403	basketball	73.9
student1093	10121092	Mobile_1403	tennis	79.9
student1094	10121093	Mobile_1403	gymnastics	70.7
student1095	10121094	Mobile_1403	basketball	72.3
student1096	10121095	Mobile_1403	gymnastics	92.5
student1097	10121096	Mobile_1403	tennis	87.3
student1098	10121097	Mobile_1403	basketball	92.3
student1099	10121098	Mobile_1403	tennis	75.7
student1100	10121099	Mobile_1403	badminton	75.9
student1101	10121100	Mobile_1403	basketball	72.3
student1102	10121101	Mobile_1404	football	68.8
student1103	10121102	Mobile_1404	basketball	89.1
student1104	10121103	Mobile_1404	football	70.2
student1105	10121104	Mobile_1404	table tennis	77.9
student1106	10121105	Mobile_1404	swimming	81
student1107	10121106	Mobile_1404	swimming	83.8
student1108	10121107	Mobile_1404	swimming	83.3
student1109	10121108	Mobile_1404	football	86.5
student1110	10121109	Mobile_1404	table tennis	75.3
student1111	10121110	Mobile_1404	badminton	92.8
student1112	10121111	Mobile_1404	volleyball	73.1
student1113	10121112	Mobile_1404	badminton	57.9
student1114	10121113	Mobile_1404	volleyball	80.3
student1115	10121114	Mobile_1404	tennis	93
student1116	10121115	Mobile_1404	volleyball	99.2
student1117	10121116	Mobile_1404	swimming	95.6
student1118	10121117	Mobile_1404	football	78.2
student1119	10121118	Mobile_1404	football	71.8
student1120	10121119	Mobile_1404	table tennis	82.7
student1121	10121120	Mobile_1404	badminton	85.2
student1122	10121121	Mobile_1404	volleyball	81.3
student1123	10121122	Mobile_1404	tennis	92.3
student1124	10121123	Mobile_1404	volleyball	83.6
student1125	10121124	Mobile_1404	volleyball	80.2
student1126	10121125	Mobile_1404	tennis	73.4
student1127	10121126	Mobile_1404	volleyball	84.8
student1128	10121127	Mobile_1404	basketball	94.5
student1129	10121128	Mobile_1404	taekwondo	83.4
student1130	10121129	Mobile_1404	taekwondo	84.8
student1131	10121130	Mobile_1404	table tennis	77.7
student1132	10121131	Mobile_1404	badminton	74
student1133	10121132	Mobile_1404	tennis	78.1
student1134	10121133	Mobile_1404	swimming	77.2
student1135	10121134	Mobile_1404	volleyball	75.3
student1136	10121135	Mobile_1404	football	76.9
student1137	10121136	Mobile_1404	table tennis	67.7
student1138	10121137	Mobile_1404	badminton	79.8
student1139	10121138	Mobile_1404	swimming	87.8
student1140	10121139	Mobile_1404	tennis	75.9
student1141	10121140	Mobile_1404	volleyball	70.3
student1142	10121141	Mobile_1404	badminton	74
student1143	10121142	Mobile_1404	basketball	98.8
student1144	10121143	Mobile_1404	tennis	73.8
student1145	10121144	Mobile_1404	tennis	70.4
student1146	10121145	Mobile_1404	badminton	71.1
student1147	10121146	Mobile_1404	swimming	77.6
student1148	10121147	Mobile_1404	table tennis	88.3
student1149	10121148	Mobile_1404	badminton	89.7
student1150	10121149	Mobile_1404	volleyball	63
student1151	10121150	Mobile_1404	tennis	79.2
student1152	10121151	Mobile_1405	badminton	75.9
student1153	10121152	Mobile_1405	basketball	82.1
student1154	10121153	Mobile_1405	table tennis	70.2
student1155	10121154	Mobile_1405	table tennis	80.2
student1156	10121155	Mobile_1405	table tennis	89.4
student1157	10121156	Mobile_1405	table tennis	89.1
student1158	10121157	Mobile_1405	taekwondo	71.9
student1159	10121158	Mobile_1405	taekwondo	79.2
student1160	10121159	Mobile_1405	football	78.2
student1161	10121160	Mobile_1405	football	76.5
student1162	10121161	Mobile_1405	gymnastics	85.8
student1163	10121162	Mobile_1405	swimming	84.8
student1164	10121163	Mobile_1405	swimming	87.7
student1165	10121164	Mobile_1405	table tennis	78.9
student1166	10121165	Mobile_1405	taekwondo	65.8
student1167	10121166	Mobile_1405	taekwondo	81.5
student1168	10121167	Mobile_1405	gymnastics	73.4
student1169	10121168	Mobile_1405	gymnastics	82.2
student1170	10121169	Mobile_1405	badminton	84.4
student1171	10121170	Mobile_1405	taekwondo	88
student1172	10121171	Mobile_1405	gymnastics	70.6
student1173	10121172	Mobile_1405	table tennis	72
student1174	10121173	Mobile_1405	taekwondo	70.1
student1175	10121174	Mobile_1405	taekwondo	97.4
student1176	10121175	Mobile_1405	football	87.8
student1177	10121176	Mobile_1405	football	78.7
student1178	10121177	Mobile_1405	gymnastics	77.1
student1179	10121178	Mobile_1405	swimming	76.7
student1180	10121179	Mobile_1405	swimming	74.7
student1181	10121180	Mobile_1405	table tennis	99.2
student1182	10121181	Mobile_1405	taekwondo	71.9
student1183	10121182	Mobile_1405	taekwondo	96
student1184	10121183	Mobile_1405	gymnastics	84.8
student1185	10121184	Mobile_1405	gymnastics	71
student1186	10121185	Mobile_1405	basketball	73.7
student1187	10121186	Mobile_1405	basketball	72.6
student1188	10121187	Mobile_1405	basketball	60.5
student1189	10121188	Mobile_1405	gymnastics	88.3
student1190	10121189	Mobile_1405	gymnastics	75.5
student1191	10121190	Mobile_1405	basketball	83.7
student1192	10121191	Mobile_1405	tennis	96.2
student1193	10121192	Mobile_1405	gymnastics	85.7
student1194	10121193	Mobile_1405	basketball	79.6
student1195	10121194	Mobile_1405	gymnastics	83.6
student1196	10121195	Mobile_1406	tennis	89.8
student1197	10121196	Mobile_1406	basketball	94
student1198	10121197	Mobile_1406	tennis	80.5
student1199	10121198	Mobile_1406	table tennis	73
student1200	10121199	Mobile_1406	badminton	84.8
student1201	10121200	Mobile_1406	table tennis	79.5
student1202	10121201	Mobile_1406	badminton	86.7
student1203	10121202	Mobile_1406	swimming	83.7
student1204	10121203	Mobile_1406	table tennis	85.7
student1205	10121204	Mobile_1406	swimming	79.5
student1206	10121205	Mobile_1406	table tennis	70.9
student1207	10121206	Mobile_1406	badminton	74.5
student1208	10121207	Mobile_1406	swimming	84.8
student1209	10121208	Mobile_1406	badminton	74.3
student1210	10121209	Mobile_1406	basketball	80.9
student1211	10121210	Mobile_1406	football	71.4
student1212	10121211	Mobile_1406	basketball	84.2
student1213	10121212	Mobile_1406	football	97.5
student1214	10121213	Mobile_1406	table tennis	84.2
student1215	10121214	Mobile_1406	swimming	88.9
student1216	10121215	Mobile_1406	swimming	89.5
student1217	10121216	Mobile_1406	swimming	70.5
student1218	10121217	Mobile_1406	football	73.4
student1219	10121218	Mobile_1406	table tennis	76.7
student1220	10121219	Mobile_1406	badminton	74.4
student1221	10121220	Mobile_1406	volleyball	99.8
student1222	10121221	Mobile_1406	badminton	77
student1223	10121222	Mobile_1406	volleyball	72
student1224	10121223	Mobile_1406	tennis	86
student1225	10121224	Mobile_1406	volleyball	78.6
student1226	10121225	Mobile_1406	swimming	71.7
student1227	10121226	Mobile_1406	football	73.4
student1228	10121227	Mobile_1406	football	89
student1229	10121228	Mobile_1406	table tennis	72.5
student1230	10121229	Mobile_1406	badminton	75.6
student1231	10121230	Mobile_1406	volleyball	70.9
student1232	10121231	Mobile_1406	tennis	88.1
student1233	10121232	Mobile_1406	volleyball	69.1
student1234	10121233	Mobile_1406	volleyball	77.4
student1235	10121234	Mobile_1406	tennis	95.1
student1236	10121235	Mobile_1406	volleyball	93.1
student1237	10121236	Mobile_1406	basketball	66.5
student1238	10121237	Mobile_1406	taekwondo	84.8
student1239	10121238	IntOfTh_1401	taekwondo	86.2
student1240	10121239	IntOfTh_1401	table tennis	89
student1241	10121240	IntOfTh_1401	badminton	81.7
student1242	10121241	IntOfTh_1401	tennis	82.8
student1243	10121242	IntOfTh_1401	swimming	76.8
student1244	10121243	IntOfTh_1401	volleyball	88.7
student1245	10121244	IntOfTh_1401	football	75.1
student1246	10121245	IntOfTh_1401	table tennis	71.9
student1247	10121246	IntOfTh_1401	badminton	89.6
student1248	10121247	IntOfTh_1401	swimming	95.4
student1249	10121248	IntOfTh_1401	tennis	76.6
student1250	10121249	IntOfTh_1401	volleyball	88.3
student1251	10121250	IntOfTh_1401	badminton	68.6
student1252	10121251	IntOfTh_1401	basketball	73.6
student1253	10121252	IntOfTh_1401	tennis	82.6
student1254	10121253	IntOfTh_1401	tennis	98.7
student1255	10121254	IntOfTh_1401	badminton	87.5
student1256	10121255	IntOfTh_1401	swimming	63.8
student1257	10121256	IntOfTh_1401	table tennis	78.8
student1258	10121257	IntOfTh_1401	badminton	87.4
student1259	10121258	IntOfTh_1401	volleyball	76.4
